   3
   1   2   3
  30  15   3   2  10000.
   1    0.  200.
   2    0.  100.
   3    0.    0.
   4  100.  200.
   5  100.  100.
   6  100.    0.
   7  200.  200.
   8  200.  100.
   9  200.    0.
  10  300.  200.
  11  300.  100.
  12  300.    0.
  13  400.  200.
  14  400.  100.
  15  400.    0.
   1   1   2   10.
   2   2   3   10.
   3   1   4   10.
   4   2   5   10.
   5   3   6   10.
   6   1   5   10.
   7   2   6   10.
   8   4   5   10.
   9   5   6   10.
  10   4   7   10.
  11   5   8   10.
  12   6   9   10.
  13   4   8   10.
  14   5   9   10.
  15   7   8   10.
  16   8   9   10.
  17   7  10   10.
  18   8  11   10.
  19   9  12   10.
  20   8  10   10.
  21   9  11   10.
  22  10  11   10.
  23  11  12   10.
  24  10  13   10.
  25  11  14   10.
  26  12  15   10.
  27  11  13   10.
  28  12  14   10.
  29  13  14   10.
  30  14  15   10.
   
